,crime_type,crime_nb,precinct,zipcode
562,Murder ,0,19,10021
563,Murder ,0,1,10013
564,Murder ,0,20,10020
565,Murder ,4,23,10029
566,Murder ,1,24,10025
567,Murder ,4,25,10035
568,Murder ,2,26,10027
569,Murder ,1,28,10027
570,Murder ,6,30,10028
571,Murder ,3,32,10030
572,Murder ,2,33,10031
573,Murder ,1,34,10033
574,Murder ,4,40,10454
575,Murder ,4,41,10459
576,Murder ,4,42,10452
577,Murder ,8,43,10472
578,Murder ,13,44,10452
579,Murder ,0,45,10465
580,Murder ,13,46,10457
581,Murder ,16,47,10466
582,Murder ,9,48,10457
583,Murder ,6,49,10461
584,Murder ,1,50,10463
585,Murder ,5,52,10467
586,Murder ,2,5,10013
587,Murder ,8,60,11224
588,Murder ,0,61,11223
589,Murder ,0,62,11214
590,Murder ,3,63,11210
591,Murder ,1,66,11218
592,Murder ,10,67,11226
593,Murder ,1,68,11220
594,Murder ,3,69,11236
595,Murder ,2,6,10011
596,Murder ,2,70,11230
597,Murder ,5,71,11225
598,Murder ,1,72,11232
599,Murder ,10,73,11212
600,Murder ,19,75,11208
601,Murder ,1,76,11231
602,Murder ,7,77,11213
603,Murder ,0,78,11217
604,Murder ,9,79,11211
605,Murder ,0,7,10002
606,Murder ,5,81,11221
607,Murder ,8,83,11237
608,Murder ,1,84,11201
609,Murder ,2,88,11205
610,Murder ,2,90,11211
611,Murder ,0,94,11222
612,Murder ,2,9,10003
613,Murder ,0,CPP,10024
614,Murder ,2,MNP,10019
615,Murder ,0,MSP,10001
616,Petit Larceny ,401,100,11693
617,Petit Larceny ,513,101,11691
618,Petit Larceny ,990,102,11418
619,Petit Larceny ,1146,103,11432
620,Petit Larceny ,1070,104,11385
621,Petit Larceny ,765,105,11428
622,Petit Larceny ,916,106,11417
623,Petit Larceny ,762,107,11365
624,Petit Larceny ,812,108,11105
625,Petit Larceny ,1762,109,11354
626,Petit Larceny ,849,10,10011
627,Petit Larceny ,1863,110,11368
628,Petit Larceny ,459,111,11361
629,Petit Larceny ,1137,112,11375
630,Petit Larceny ,1006,113,11434
631,Petit Larceny ,1681,114,11103
632,Petit Larceny ,1122,115,11372
633,Petit Larceny ,955,120,10301
634,Petit Larceny ,1491,121,None
635,Petit Larceny ,823,122,10306
636,Petit Larceny ,435,123,10307
637,Petit Larceny ,1842,13,10010
638,Petit Larceny ,605,17,10017
639,Petit Larceny ,1518,19,10021
640,Petit Larceny ,1843,1,10013
641,Petit Larceny ,1204,20,10020
642,Petit Larceny ,704,23,10029
643,Petit Larceny ,980,24,10025
644,Petit Larceny ,1043,25,10035
645,Petit Larceny ,470,26,10027
646,Petit Larceny ,1069,28,10027
647,Petit Larceny ,439,30,10028
648,Petit Larceny ,661,32,10030
649,Petit Larceny ,655,33,10031
650,Petit Larceny ,759,34,10033
651,Petit Larceny ,1657,40,10454
652,Petit Larceny ,868,41,10459
653,Petit Larceny ,896,42,10452
654,Petit Larceny ,1515,43,10472
655,Petit Larceny ,1942,44,10452
656,Petit Larceny ,1252,45,10465
657,Petit Larceny ,1167,46,10457
658,Petit Larceny ,975,47,10466
659,Petit Larceny ,1060,48,10457
660,Petit Larceny ,1250,49,10461
661,Petit Larceny ,821,50,10463
662,Petit Larceny ,1758,52,10467
663,Petit Larceny ,1032,5,10013
664,Petit Larceny ,891,60,11224
665,Petit Larceny ,997,61,11223
666,Petit Larceny ,959,62,11214
667,Petit Larceny ,973,63,11210
668,Petit Larceny ,930,66,11218
669,Petit Larceny ,967,67,11226
670,Petit Larceny ,871,68,11220
671,Petit Larceny ,510,69,11236
672,Petit Larceny ,1274,6,10011
673,Petit Larceny ,1519,70,11230
674,Petit Larceny ,962,71,11225
675,Petit Larceny ,796,72,11232
676,Petit Larceny ,880,73,11212
677,Petit Larceny ,2139,75,11208
678,Petit Larceny ,497,76,11231
679,Petit Larceny ,958,77,11213
680,Petit Larceny ,1259,78,11217
681,Petit Larceny ,1131,79,11211
682,Petit Larceny ,580,7,10002
683,Petit Larceny ,656,81,11221
684,Petit Larceny ,1041,83,11237
685,Petit Larceny ,1433,84,11201
686,Petit Larceny ,780,88,11205
687,Petit Larceny ,1314,90,11211
688,Petit Larceny ,780,94,11222
689,Petit Larceny ,1295,9,10003
690,Petit Larceny ,83,CPP,10024
691,Petit Larceny ,2057,MNP,10019
692,Petit Larceny ,4014,MSP,10001
693,Rape ,8,100,11693
694,Rape ,16,101,11691
695,Rape ,21,102,11418
696,Rape ,22,103,11432
697,Rape ,16,104,11385
698,Rape ,29,105,11428
699,Rape ,24,106,11417
700,Rape ,22,107,11365
701,Rape ,15,108,11105
702,Rape ,21,109,11354
703,Rape ,12,10,10011
704,Rape ,27,110,11368
705,Rape ,1,111,11361
706,Rape ,7,112,11375
707,Rape ,22,113,11434
708,Rape ,24,114,11103
709,Rape ,28,115,11372
710,Rape ,29,120,10301
711,Rape ,9,121,None
712,Rape ,5,122,10306
713,Rape ,2,123,10307
714,Rape ,13,13,10010
715,Rape ,15,17,10017
716,Rape ,13,19,10021
717,Rape ,9,1,10013
718,Rape ,8,20,10020
719,Rape ,17,23,10029
720,Rape ,13,24,10025
721,Rape ,27,25,10035
722,Rape ,17,26,10027
723,Rape ,14,28,10027
724,Rape ,18,30,10028
725,Rape ,16,32,10030
726,Rape ,18,33,10031
727,Rape ,13,34,10033
728,Rape ,31,40,10454
729,Rape ,17,41,10459
730,Rape ,30,42,10452
731,Rape ,35,43,10472
732,Rape ,34,44,10452
733,Rape ,12,45,10465
734,Rape ,29,46,10457
735,Rape ,32,47,10466
736,Rape ,21,48,10457
